id,name,type,diameter_m,velocity_km_s,distance_km,is_hazardous,period_years,eccentricity,inclination_deg,perihelion_au,aphelion_au,moid_au,orbital_energy,period_category,eccentricity_category,inclination_category,is_famous_comet
comet-103P_Hartley_2,103P/Hartley 2,comet,1296,0,159201329,0,6.48,0.693780472,13.60427243,1.064195154,5.89,0.072005,-0.1437980927850159,short,medium,medium,0
comet-104P_Kowal_2,104P/Kowal 2,comet,1178,0,176339756,0,5.89,0.6385203614,10.25097305,1.178758464,5.34,0.202197,-0.15340344415620308,short,medium,medium,0
comet-109P_Swift_Tuttle,109P/Swift-Tuttle,comet,10000,0,143541574,0,133.28,0.963225755,113.453817,0.9595161551,51.22,0.000892,-0.01916460852238586,long,high,high,1
comet-122P_de_Vico,122P/de Vico,comet,10000,0.1,98635462,0,74.35,0.9627088868,85.38275311,0.6593373359,34.7,0.316817,-0.028281072987889663,medium,high,high,0
comet-141P_Machholz_2_A,141P/Machholz 2-A,comet,1046,0,112624739,0,5.23,0.7501239591,12.79506334,0.7528498784,5.27,0.105492,-0.16603435585973048,short,high,medium,0
comet-141P_Machholz_2_D,141P/Machholz 2-D,comet,1044,0,112049657,0,5.22,0.7510624112,12.81184124,0.7490056935,5.27,0.107814,-0.1661403977537208,short,high,medium,0
comet-161P_Hartley_IRAS,161P/Hartley-IRAS,comet,4292,0,190502924,0,21.46,0.8350738463,95.69806815,1.27343339,14.17,0.447763,-0.06475244038981154,medium,high,high,0
comet-162P_Siding_Spring,162P/Siding Spring,comet,1064,0,183659664,0,5.32,0.5972436348,27.84477766,1.227689026,4.87,0.232183,-0.1639965560290283,short,medium,medium,0
comet-169P_NEAT,169P/NEAT,comet,840,0.1,90803028,0,4.2,0.7669277193,11.30444069,0.6069807513,4.6,0.142644,-0.19204987453628194,short,high,medium,0
comet-177P_Barnard,177P/Barnard,comet,10000,0,165652664,0,120.07,0.9545011069,31.1792882,1.107319662,47.57,0.31003,-0.020543448302899288,long,high,medium,0
comet-181P_Shoemaker_Levy_6,181P/Shoemaker-Levy 6,comet,1504,0,168087126,0,7.52,0.7073228279,16.98117917,1.123593041,6.55,0.156355,-0.13031704895698806,short,high,medium,0
comet-182P_LONEOS,182P/LONEOS,comet,1004,0,146310077,0,5.02,0.66634233,16.90929665,0.9780224592,4.88,0.109366,-0.170706071368761,short,medium,medium,0
