asteroid_id,asteroid_name,approach_date,approach_date_full,velocity_km_s,distance_km,is_hazardous
54296538,(2022 QP1),2025-10-08,2025-Oct-08 09:36,3.1339293811,65888566.62094542,false
54314205,(2022 TU1),2025-10-08,2025-Oct-08 08:43,12.9051311585,6459032.294476041,false
54545163,(2025 RN3),2025-10-08,2025-Oct-08 04:46,4.3731734324,25165467.281062692,false
54547373,(2025 SJ7),2025-10-08,2025-Oct-08 06:01,8.100480555,15080573.502061173,false
54547374,(2025 SK7),2025-10-08,2025-Oct-08 01:54,23.0576131902,9336916.29211261,false
54549122,(2025 SW25),2025-10-08,2025-Oct-08 14:49,6.1990238587,9653241.646458237,false
54549687,(2025 SJ29),2025-10-08,2025-Oct-08 01:46,10.4411958802,3220725.215404808,false
54550499,(2025 SD38),2025-10-08,2025-Oct-08 01:35,6.0026226154,11430922.934328722,false
54550568,(2025 TF1),2025-10-08,2025-Oct-08 17:09,17.458675662,3233024.79324132,false
3427459,(2008 SS),2025-10-03,2025-Oct-03 22:04,14.5278596145,17860588.568532284,false
3716631,(2015 HN9),2025-10-03,2025-Oct-03 22:24,7.7084299078,12307670.348249437,false
3720000,(2015 KT120),2025-10-03,2025-Oct-03 04:07,11.569203976,39827549.38855575,false
54201807,(2021 SY3),2025-10-03,2025-Oct-03 23:05,5.9294008854,7782741.82159392,false
54212590,(2021 UJ1),2025-10-03,2025-Oct-03 18:11,22.1261472346,66740907.72580733,false
54265626,(2022 FL1),2025-10-03,2025-Oct-03 09:08,7.6817966076,71679427.62863825,false
54300842,(2022 QG41),2025-10-03,2025-Oct-03 16:41,11.9542124902,16201986.272634791,false
54309253,(2022 SK21),2025-10-03,2025-Oct-03 03:16,2.376499605,21283967.780194912,false
54324411,(2022 VV),2025-10-03,2025-Oct-03 13:30,9.0730597852,30486923.428302027,false
54383301,(2023 RV12),2025-10-03,2025-Oct-03 12:57,13.598403206,28643357.00947528,false
54385247,(2023 SV1),2025-10-03,2025-Oct-03 06:51,31.8007142527,59952516.85623488,false
54417174,(2023 XJ16),2025-10-03,2025-Oct-03 13:04,26.1780296583,71944436.91931075,false
54486931,(2024 TW),2025-10-03,2025-Oct-03 03:41,11.8351736661,7983747.398922211,false
54542743,(2025 QK10),2025-10-03,2025-Oct-03 16:11,11.8906355112,12572284.43126897,false
54544998,(2025 RH2),2025-10-03,2025-Oct-03 20:07,5.0764958157,7514832.23213637,false
54546468,(2025 SV2),2025-10-03,2025-Oct-03 03:53,7.2831111038,17635842.871379867,false
54547367,(2025 SV6),2025-10-03,2025-Oct-03 20:02,4.9706195643,1792229.695687772,false
54549686,(2025 SE29),2025-10-03,2025-Oct-03 21:04,8.6457557099,4754758.890851574,false
54549682,(2025 TC),2025-10-03,2025-Oct-03 06:34,16.1451012843,85671.453875221,false
54550514,(2025 TS),2025-10-03,2025-Oct-03 07:50,9.1488496108,647814.666864232,false
3781988,(2017 SJ20),2025-10-02,2025-Oct-02 19:46,26.1254135042,56731410.19618115,false
3782063,(2017 TG1),2025-10-02,2025-Oct-02 12:43,15.0777144903,44783877.40687169,false
3873325,(2019 TA1),2025-10-02,2025-Oct-02 14:14,11.7173474999,30330976.953814544,false
3879167,(2019 TA7),2025-10-02,2025-Oct-02 19:05,26.4724114291,72154359.39735869,false
54016464,(2020 GE1),2025-10-02,2025-Oct-02 21:39,4.6726318347,5256534.067530987,false
54130760,(2021 EN2),2025-10-02,2025-Oct-02 00:48,10.8419893573,60774131.97977855,false
54185582,(2021 PS16),2025-10-02,2025-Oct-02 17:37,11.9261481621,41747441.19416862,false
54212589,(2021 UG1),2025-10-02,2025-Oct-02 20:53,7.6064785732,23104432.652665418,false
