asteroid_id,diameter_m,velocity_km_s,distance_km,kinetic_energy_mt,is_hazardous,absolute_magnitude,approach_parameter,gravity_influence,orbit_uncertainty,moid,inclination,eccentricity
54324411,78.62,9.073,30486923.43,7.509890,0,23.69,4785.265018,0.00020897,9,1.000000,0.0000,0.000000
54383301,24.75,13.598,28643357.01,0.526141,0,26.20,4495.896564,0.00022243,9,1.000000,0.0000,0.000000
54385247,64.20,31.801,59952516.86,50.234236,0,24.13,9410.220822,0.00010627,9,1.000000,0.0000,0.000000
54417174,446.21,26.178,71944436.92,11428.782476,0,19.92,11292.487352,0.00008855,9,1.000000,0.0000,0.000000
54486931,6.97,11.835,7983747.40,0.008922,0,28.95,1253.138816,0.00079800,9,1.000000,0.0000,0.000000
54542743,64.50,11.891,12572284.43,7.120921,0,24.12,1973.361235,0.00050675,9,1.000000,0.0000,0.000000
54544998,45.03,5.076,7514832.23,0.441829,0,24.90,1179.537315,0.00084779,9,1.000000,0.0000,0.000000
54546468,48.17,7.283,17635842.87,1.112653,0,24.75,2768.143599,0.00036125,9,1.000000,0.0000,0.000000
54547367,15.69,4.971,1792229.70,0.017904,0,27.19,281.310579,0.00355479,9,1.000000,0.0000,0.000000
54549686,128.33,8.646,4754758.89,29.657325,0,22.63,746.312807,0.00133992,9,1.000000,0.0000,0.000000
54549682,16.89,16.145,85671.45,0.235618,0,27.03,13.447097,0.07436549,9,1.000000,0.0000,0.000000
54550514,14.55,9.149,647814.67,0.048424,0,27.35,101.681787,0.00983460,9,1.000000,0.0000,0.000000
3781988,146.40,26.125,56731410.20,402.024390,0,22.34,8904.631957,0.00011230,9,1.000000,0.0000,0.000000
3782063,113.12,15.078,44783877.41,61.772771,0,22.90,7029.332508,0.00014226,9,1.000000,0.0000,0.000000
3873325,25.91,11.717,30330976.95,0.448523,0,26.10,4760.787467,0.00021005,9,1.000000,0.0000,0.000000
3879167,23.63,26.472,72154359.40,1.736653,0,26.30,11325.437042,0.00008830,9,1.000000,0.0000,0.000000
54016464,16.35,4.673,5256534.07,0.017916,0,27.10,825.072056,0.00121202,9,1.000000,0.0000,0.000000
54130760,69.75,10.842,60774131.98,7.487624,0,23.95,9539.182543,0.00010483,9,1.000000,0.0000,0.000000
54185582,102.22,11.926,41747441.19,28.518485,0,23.12,6552.729743,0.00015261,9,1.000000,0.0000,0.000000
54212589,39.95,7.606,23104432.65,0.692617,0,25.16,3626.500181,0.00027575,9,1.000000,0.0000,0.000000
54321452,94.96,11.625,33088937.05,21.722510,0,23.28,5193.680277,0.00019254,9,1.000000,0.0000,0.000000
54385233,25.68,17.411,46680204.66,0.963291,0,26.12,7326.982367,0.00013648,9,1.000000,0.0000,0.000000
54393149,48.93,7.557,19385903.29,1.255535,0,24.72,3042.835236,0.00032864,9,1.000000,0.0000,0.000000
54414145,12.58,5.421,36945858.81,0.010970,0,27.67,5799.067464,0.00017244,9,1.000000,0.0000,0.000000
54486934,93.23,22.486,21009242.32,76.903789,0,23.32,3297.636528,0.00030325,9,1.000000,0.0000,0.000000
54545769,14.35,3.730,1393391.53,0.007721,0,27.38,218.708449,0.00457230,9,1.000000,0.0000,0.000000
54546119,17.50,5.882,4673627.79,0.034834,0,26.95,733.578370,0.00136318,9,1.000000,0.0000,0.000000
54546407,47.83,4.639,26318432.32,0.442180,0,24.77,4130.973524,0.00024207,9,1.000000,0.0000,0.000000
54546465,60.92,9.585,20374562.03,3.899019,0,24.24,3198.016329,0.00031269,9,1.000000,0.0000,0.000000
54549111,25.44,7.215,9128731.39,0.160927,0,26.14,1432.856913,0.00069791,9,1.000000,0.0000,0.000000
54549117,54.49,12.000,11673450.25,4.373798,0,24.49,1832.279117,0.00054577,9,1.000000,0.0000,0.000000
54549696,16.91,6.063,1996332.59,0.033371,0,27.03,313.346820,0.00319135,9,1.000000,0.0000,0.000000
54550575,13.76,12.627,225395.18,0.077928,0,27.48,35.378304,0.02826591,9,1.000000,0.0000,0.000000
3428698,35.77,14.137,24268337.35,1.717261,0,25.40,3809.188095,0.00026252,9,1.000000,0.0000,0.000000
3667048,16.35,9.937,49002316.00,0.081026,0,27.10,7691.463820,0.00013001,9,1.000000,0.0000,0.000000
3728859,113.12,11.017,58516116.90,32.977304,0,22.90,9184.761717,0.00010888,9,1.000000,0.0000,0.000000
3799876,50.76,11.797,40987360.84,3.417234,0,24.64,6433.426595,0.00015544,9,1.000000,0.0000,0.000000
3878561,60.47,13.140,20399348.11,7.167198,0,24.26,3201.906782,0.00031231,9,1.000000,0.0000,0.000000
3879165,42.22,15.211,18340416.86,3.269163,0,25.04,2878.734399,0.00034737,9,1.000000,0.0000,0.000000
3991587,14.78,21.696,27751317.36,0.285020,0,27.32,4355.880922,0.00022957,9,1.000000,0.0000,0.000000
54154694,38.86,6.097,30652379.96,0.409541,0,25.22,4811.235278,0.00020785,9,1.000000,0.0000,0.000000
54193830,83.86,5.520,56213476.33,3.373052,0,23.55,8823.336419,0.00011334,9,1.000000,0.0000,0.000000
54202332,27.01,15.716,25687173.07,0.913746,0,26.01,4031.890295,0.00024802,9,1.000000,0.0000,0.000000
54203006,346.37,44.524,71892716.09,15463.451056,1,20.47,11284.369187,0.00008862,9,1.000000,0.0000,0.000000
54215217,237.43,13.274,57426097.68,442.707151,0,21.29,9013.670958,0.00011094,9,1.000000,0.0000,0.000000
54265894,12.01,9.554,46320602.02,0.029679,0,27.77,7270.538694,0.00013754,9,1.000000,0.0000,0.000000
54352299,41.64,15.026,74202950.92,3.060764,0,25.07,11646.986489,0.00008586,9,1.000000,0.0000,0.000000
