id,name,diameter_meters,diameter_km,is_hazardous,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,total_approaches,nasa_jpl_url,orbit_id,orbit_uncertainty,minimum_orbit_intersection,eccentricity,semi_major_axis,inclination,orbital_period,perihelion_distance,aphelion_distance,mean_anomaly,mean_motion,orbit_class_type,orbit_class_description,orbit_class_range,estimated_mass_kg,kinetic_energy_mt,potential_crater_km,threat_category
54439324,(2024 JH),32.18,0.0322,false,false,25.63,2025-10-11,7.5657397576,17191607.94231259,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54439324,,,,,,,,,,,,,,,52329638,0.3580,0.88,MINIMAL
54467611,(2024 RM),61.31,0.0613,false,false,24.23,2025-10-11,10.7805972206,30262905.01615441,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54467611,,,,,,,,,,,,,,,362032640,5.0282,1.70,LOCAL
54542538,(2025 QL9),81.57,0.0816,false,false,23.61,2025-10-11,5.7258342475,17959634.9994923,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542538,,,,,,,,,,,,,,,852604710,3.3404,1.53,LOCAL
54549121,(2025 SU25),50.46,0.0505,false,false,24.653,2025-10-11,3.3526168371,25819793.79361015,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549121,,,,,,,,,,,,,,,201812344,0.2711,0.82,MINIMAL
54550577,(2025 TQ1),48.26,0.0483,false,false,24.75,2025-10-11,5.7407552426,21909939.946296398,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550577,,,,,,,,,,,,,,,176501226,0.6951,1.04,MINIMAL
3559911,(2011 ET74),24.75,0.0247,false,false,26.2,2025-10-07,18.0792095644,65301756.58916678,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3559911,,,,,,,,,,,,,,,23809360,0.9300,1.11,MINIMAL
3611402,(2012 TR231),71.37,0.0714,false,false,23.9,2025-10-07,18.3828706129,47911936.97430581,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3611402,,,,,,,,,,,,,,,571146773,23.0650,2.49,REGIONAL
3781897,(2017 SL16),28.15,0.0282,false,false,25.92,2025-10-07,5.0013428598,21187666.679586414,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781897,,,,,,,,,,,,,,,35054819,0.1048,0.65,MINIMAL
3819574,(2018 HG2),60.47,0.0605,false,false,24.26,2025-10-07,23.0053158378,64466387.18313893,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3819574,,,,,,,,,,,,,,,347334344,21.9676,2.46,REGIONAL
3831210,(2018 TX1),56.69,0.0567,false,false,24.4,2025-10-07,10.909964223,17554169.330821674,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3831210,,,,,,,,,,,,,,,286251471,4.0717,1.61,LOCAL
54016489,(2020 GA2),254.41,0.2544,true,false,21.14,2025-10-07,30.0366565688,44561001.638214916,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016489,,,,,,,,,,,,,,,25867099141,2788.8762,8.25,GLOBAL
54165800,(2021 NM),24.41,0.0244,false,false,26.23,2025-10-07,23.8269863934,42583700.34848808,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54165800,,,,,,,,,,,,,,,22842715,1.5498,1.27,LOCAL
